node_id,type,phys_nodeid,role,inception,temp_boot_osid_vers,next_boot_osid,next_boot_osid_vers,startstatus,ready,bootstatus,status,failureaction,routertype,eventstate,state_timestamp,op_mode,op_mode_timestamp,allocstate,allocstate_timestamp,update_accounts,next_op_mode,osid,ntpdrift,jailflag,rtabid,boot_errno,reserved_pid,uuid,reserved_memory,nonfsmounts
pc412,d710,pc412,testnode,2010-02-03 17:44:53,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227551.0,PXEKERNEL,1557227547.0,FREE_DIRTY,1555685080.0,0,,9999.0,40.867,0,0,0,,82387edf-1126-11df-8633-001143e453fe,0,0
procurve4,hp5412,procurve4,testswitch,,0,,0,,0,unknown,,fatal,none,ISUP,,NONE,,,,0,,,,0,0,0,,,0,0
procurve2,hp5412,procurve2,ctrlswitch,,0,,0,,0,unknown,,fatal,none,ISUP,,NONE,,,,0,,,,0,0,0,,,0,0
pc416,d710,pc416,testnode,2010-02-04 11:22:18,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227669.0,PXEKERNEL,1557227665.0,FREE_DIRTY,1555685081.0,0,,9999.0,17.776,0,0,0,,3a36f246-11ba-11df-8633-001143e453fe,0,0
pc516,d710,pc516,testnode,2010-03-05 11:19:59,0,,0,none,0,okay,,fatal,none,ISUP,1557264457.0,NORMALv2,1557264444.0,RES_READY,1557264769.0,0,,5266.0,20.875999999999998,0,0,0,,b5329698-2883-11df-8633-001143e453fe,0,0
pc511,d710,pc511,testnode,2010-03-05 11:20:14,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227556.0,PXEKERNEL,1557227552.0,FREE_DIRTY,1555685080.0,0,,9999.0,19.098,0,0,0,,beb04581-2883-11df-8633-001143e453fe,0,0
pc488,d710,pc488,testnode,2010-03-04 16:07:43,0,,0,none,0,failed,,fatal,static,ISUP,1554155079.0,NORMALv2,1554155040.0,RES_READY,1407005247.0,0,,3089.0,49.326,0,0,0,,bd40dd57-27e2-11df-8633-001143e453fe,0,0
pc544,d710,pc544,testnode,2010-03-08 19:45:10,0,,0,none,0,okay,,fatal,none,ISUP,1557264444.0,NORMALv2,1557264429.0,RES_READY,1557264769.0,0,,5266.0,26.059,0,0,0,,c79a9775-2b25-11df-8633-001143e453fe,0,0
pc411,d710,pc411,testnode,2010-02-03 17:44:50,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227549.0,PXEKERNEL,1557227546.0,FREE_DIRTY,1555685080.0,0,,9999.0,23.358,0,0,0,,80555543-1126-11df-8633-001143e453fe,0,0
pc414,d710,pc414,testnode,2010-02-04 11:22:10,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227533.0,PXEKERNEL,1557227529.0,FREE_DIRTY,1555685081.0,0,,9999.0,25.261,0,0,0,,35613f23-11ba-11df-8633-001143e453fe,0,0
procurve5,hp5412,procurve5,testswitch,,0,,0,,0,unknown,,fatal,none,ISUP,,NONE,,RES_INIT_DIRTY,1327861635.0,0,,,,0,0,0,,,0,0
pc419,d710,pc419,testnode,2010-02-04 11:22:26,0,,0,none,0,okay,,fatal,none,ISUP,1557264441.0,NORMALv2,1557264428.0,RES_READY,1557264769.0,0,,5266.0,30.057,0,0,0,,3ef2ebf4-11ba-11df-8633-001143e453fe,0,0
pc415,d710,pc415,testnode,2010-02-04 11:22:15,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227526.0,PXEKERNEL,1557227523.0,FREE_DIRTY,1555685080.0,0,,9999.0,44.607,0,0,0,,38b3b558-11ba-11df-8633-001143e453fe,0,0
pc410,d710,pc410,testnode,2010-02-03 15:37:55,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227519.0,PXEKERNEL,1557227515.0,FREE_DIRTY,1555685080.0,0,,9999.0,45.153999999999996,0,0,0,,c54ebb9a-1114-11df-8633-001143e453fe,0,0
pc490,d710,pc490,testnode,2010-03-04 16:07:30,0,,0,none,0,okay,,fatal,none,ISUP,1557264432.0,NORMALv2,1557264419.0,RES_READY,1557264769.0,0,,5266.0,34.344,0,0,0,,b55ef2c4-27e2-11df-8633-001143e453fe,0,0
pc559,d710,pc559,testnode,2010-03-15 20:01:44,0,,0,none,0,okay,,fatal,none,ISUP,1557264457.0,NORMALv2,1557264444.0,RES_READY,1557264769.0,0,,5266.0,22.831,0,0,0,,df2e4f43-309f-11df-8633-001143e453fe,0,0
pc505,d710,pc505,testnode,2010-03-04 17:17:26,0,,0,none,0,okay,,fatal,none,ISUP,1557264439.0,NORMALv2,1557264426.0,RES_READY,1557264769.0,0,,5266.0,26.011999999999997,0,0,0,,7a479fd4-27ec-11df-8633-001143e453fe,0,0
sn001,pcdp,sn001,testnode,2008-01-16 12:36:53,0,,0,,0,unknown,,fatal,none,ISUP,1314046275.0,ALWAYSUP,1200512213.0,FREE_DIRTY,,2,,,,0,0,0,,deb06280-773e-102b-8eb4-001143e453fe,0,0
pc446,d710,pc446,testnode,2010-03-15 20:56:28,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227527.0,PXEKERNEL,1557227523.0,FREE_DIRTY,1555685080.0,0,,9999.0,32.782,0,0,0,,84c5fcd6-30a7-11df-8633-001143e453fe,0,0
pc540,d710,pc540,testnode,2010-03-08 19:16:06,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227628.0,PXEKERNEL,1557227624.0,FREE_DIRTY,1555685080.0,0,,9999.0,31.498,0,0,0,,b81e7b18-2b21-11df-8633-001143e453fe,0,0
pc500,d710,pc500,testnode,2010-03-04 16:06:59,0,,0,none,0,okay,,fatal,none,ISUP,1557264959.0,NORMALv2,1557264945.0,RES_READY,1557264960.0,0,,5266.0,49.428000000000004,0,0,0,,a32636f8-27e2-11df-8633-001143e453fe,0,0
power21,APC,power21,powerctrl,,0,,0,,0,unknown,up,fatal,none,ISUP,1046687348.0,NONE,1034973566.0,FREE_DIRTY,,0,,121.0,,0,0,0,,de98b424-773e-102b-8eb4-001143e45cff,0,0
pc555,d710,pc555,testnode,2010-03-15 20:01:50,0,,0,none,0,okay,,fatal,none,PXEWAIT,1557227595.0,PXEKERNEL,1557227591.0,FREE_DIRTY,1555685080.0,0,,9999.0,24.505,0,0,0,,e26d10a9-309f-11df-8633-001143e453fe,0,0
pc482,d710,pc482,testnode,2010-03-04 16:39:09,0,,0,none,0,okay,,fatal,none,ISUP,1557264436.0,NORMALv2,1557264423.0,RES_READY,1557264769.0,0,,5266.0,22.148000000000003,0,0,0,,2126dbf4-27e7-11df-8633-001143e453fe,0,0
